bigg	10fthf	MNXM237	inferred	10-Formyltetrahydrofolate
bigg	10fthf5glu	MNXM3428	identity	10-formyltetrahydrofolate-[Glu](5)
bigg	10fthf6glu	MNXM3429	identity	10-formyltetrahydrofolate-[Glu](6)
bigg	10fthf7glu	MNXM5422	identity	10-formyltetrahydrofolate-[Glu](7)
bigg	11-cis-retfa	MNXM7351	identity	fatty acid 11-cis-retinol
bigg	11docrtsl	MNXM1399	inferred	11-Deoxycortisol
bigg	11docrtstrn	MNXM849	inferred	11-Deoxycorticosterone
bigg	12HPET	MNXM13989	identity	12-Hydroperoxyeicosa-5,8,10,14-tetraenoate
bigg	12RHPET	MNXM9678	inferred	12R-Hydroperoxyeicosatetraenoate
bigg	12dgr120	MNXM4939	inferred	1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)
bigg	12dgr140	MNXM2902	inferred	1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)
bigg	12dgr141	MNXM4940	inferred	1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)
bigg	12dgr160	MNXM3132	inferred	1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)
bigg	12dgr161	MNXM3774	inferred	1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)
bigg	12dgr180	MNXM4217	inferred	1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)
bigg	12dgr181	MNXM3775	inferred	1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)
bigg	12dgr_EC	MNXM59	inferred	1,2-Diacylglycerol  (E.coli)
bigg	12dgr_HP	MNXM9526	identity	1,2-Diacylglycerol Hp specific
bigg	12dgr_SA	MNXM91042	structural	1,2-Daicylglycerol (Saureus)
bigg	12dgr_SC	MNXM90149	structural	1,2-Diacylglycerol, yeast-specific
bigg	12harachd	MNXM13977	identity	12 hydroxy arachidonic acid
bigg	12ppd-R	MNXM90191	inferred	(R)-Propane-1,2-diol
bigg	12ppd-S	MNXM1255	inferred	(S)-Propane-1,2-diol
bigg	13-cis-oretn	MNXM6640	identity	13-cis-oxo-retinoic acid
bigg	13-cis-retn	MNXM58377	inferred	13-cis-retinoate
bigg	13-cis-retnglc	MNXM8018	identity	13-cis-retinoyl glucuronide
bigg	13BDglcn	MNXM6492	inferred	1,3-beta-D-Glucan
bigg	13dampp	MNXM350	inferred	1,3-Diaminopropane
bigg	13dpg	MNXM261	inferred	3-Phospho-D-glyceroyl phosphate
bigg	14glucan	MNXM2905	inferred	1,4-alpha-D-glucan
bigg	14glun	MNXM99	inferred	(1,4-alpha-D-Glucosyl)n
bigg	15HPET	MNXM2314	inferred	15-Hydroperoxyeicosatetraenoic acid
bigg	15dap	MNXM943	inferred	1,5-Diaminopentane
bigg	17ahprgnlone	MNXM531	inferred	17alpha-Hydroxypregnenolone
bigg	17ahprgstrn	MNXM347	inferred	17alpha-Hydroxyprogesterone
bigg	18harachd	MNXM33752	inferred	18 hydroxy arachidonic acid
bigg	1Dgali	MNXM878	inferred	1-alpha-D-Galactosyl-myo-inositol
bigg	1a2425thvitd2	MNXM32685	inferred	1-alpha,24R,25-Trihydroxyvitamin D2
bigg	1a2425thvitd3	MNXM4500	inferred	1-alpha,24R,25-Trihydroxyvitamin D3
bigg	1a25dhvitd2	MNXM9598	identity	1-alpha,25-Dihydroxyvitamin D2
bigg	1a25dhvitd3	MNXM1042	inferred	1-alpha,25-Dihydroxyvitamin D3
bigg	1ag3p_SC	MNXM226	inferred	1-Acyl-sn-glycerol 3-phosphate
bigg	1agly3p_SC	MNXM91820	structural	1-Acyl-glycerone 3-phosphate, yeast-specific
bigg	1agpe120	MNXM32692	inferred	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)
bigg	1agpe140	MNXM32693	inferred	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)
bigg	1agpe141	MNXM6599	inferred	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)
bigg	1agpe160	MNXM32511	inferred	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)
bigg	1agpe161	MNXM6601	inferred	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)
bigg	1agpe180	MNXM32694	inferred	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)
bigg	1agpe181	MNXM9584	identity	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)
bigg	1agpg120	MNXM32695	inferred	1-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)
bigg	1agpg140	MNXM6603	inferred	1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)
bigg	1agpg141	MNXM6604	inferred	1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)
bigg	1agpg160	MNXM6605	inferred	1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)
bigg	1agpg161	MNXM6606	inferred	1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)
bigg	1agpg180	MNXM6607	inferred	1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)
bigg	1agpg181	MNXM6608	inferred	1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)
bigg	1ddecg3p	MNXM4232	inferred	1-dodecanoyl-sn-glycerol 3-phosphate
bigg	1glyc_hs	MNXM13807	identity	1 acyl phosphoglycerol
bigg	1hdec9eg3p	MNXM91047	inferred	1-hexadec-9-enoyl-sn-glycerol 3-phosphate
bigg	1hdecg3p	MNXM90586	structural	1-hexadecanoyl-sn-glycerol 3-phosphate
bigg	1mncam	MNXM2172	inferred	1-Methylnicotinamide
bigg	1mpyr	MNXM1615	inferred	1-Methylpyrrolinium
bigg	1msg3p	MNXM91355	structural	1-Acyl-sn-glycerol 3-phosphate (branched C19:0)
bigg	1odec11eg3p	MNXM91049	inferred	1-octadec-11-enoyl-sn-glycerol 3-phosphate
bigg	1odecg3p	MNXM32950	inferred	1-octadecanoyl-sn-glycerol 3-phosphate
bigg	1p2cbxl	MNXM957	inferred	1-Pyrroline-2-carboxylate
bigg	1p3h5c	MNXM114091	inferred	L-1-Pyrroline-3-hydroxy-5-carboxylate
bigg	1pipdn2c	MNXM911	inferred	delta1-Piperideine-2-carboxylate
bigg	1pyr5c	MNXM1617	inferred	1-Pyrroline-5-carboxylate
bigg	1tdec7eg3p	MNXM91053	structural	1-tetradec-7-enoyl-sn-glycerol 3-phosphate
bigg	1tdecg3p	MNXM3426	inferred	1-tetradecanoyl-sn-glycerol 3-phosphate
bigg	20ahchsterol	MNXM35531	inferred	20alpha-hydroxy cholesterol
bigg	23camp	MNXM2598	inferred	2',3'-Cyclic AMP
bigg	23ccmp	MNXM3148	inferred	2',3'-Cyclic CMP
bigg	23cgmp	MNXM3149	inferred	2',3'-Cyclic GMP
bigg	23cump	MNXM3150	inferred	2',3'-Cyclic UMP
bigg	23dappa	MNXM91374	inferred	2,3-diaminopropionate
bigg	23ddhb	MNXM1977	inferred	2,3-Dihydro-2,3-dihydroxybenzoate
bigg	23dhb	MNXM455	inferred	2,3-Dihydroxybenzoate
bigg	23dhba	MNXM1978	inferred	(2,3-Dihydroxybenzoyl)adenylate
bigg	23dhbzs	MNXM90595	inferred	2,3-dihydroxybenzoylserine
bigg	23dhdp	MNXM807	inferred	2,3-Dihydrodipicolinate
bigg	23dhmb	MNXM114097	inferred	(R)-2,3-Dihydroxy-3-methylbutanoate
bigg	23dhmp	MNXM1202	inferred	(R)-2,3-Dihydroxy-3-methylpentanoate
bigg	23doguln	MNXM958	inferred	2,3-Dioxo-L-gulonate
bigg	23dpg	MNXM892	inferred	2,3-Disphospho-D-glycerate
bigg	2425dhvitd2	MNXM6764	identity	24R,25-Dihyoxyvitamin D2
bigg	2425dhvitd3	MNXM6005	inferred	24R,25-Dihydroxyvitamin D3
bigg	24dab	MNXM840	inferred	L-2,4-Diaminobutanoate
bigg	24nph	MNXM9757	identity	2,4 dihydroxy nitrophenol
bigg	25aics	MNXM607	inferred	(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate
bigg	25dhpp	MNXM90906	identity	2,5-Diamino-6-hydroxy-4-(5'-phosphoribosylamino)-pyrimidine
bigg	25dkglcn	MNXM936	inferred	2,5-diketo-D-gluconate
bigg	25drapp	MNXM648	inferred	2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate
bigg	25dthpp	MNXM1099	inferred	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate
bigg	25hvitd2	MNXM35720	inferred	25-Hydroxyvitamin D2
bigg	25hvitd3	MNXM812	inferred	25-Hydroxyvitamin D3
bigg	26dap-LL	MNXM644	inferred	LL-2,6-Diaminoheptanedioate
bigg	26dap-M	MNXM529	inferred	meso-2,6-Diaminoheptanedioate
bigg	2a3pp	MNXM5455	inferred	2-Amino-3-phosphonopropanoate
bigg	2agpe120	MNXM34808	inferred	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)
